transition,rel_case1,rel_case2,rel_avg
1,0.6994144437215355,0.6332179930795848,0.6663162184005602
2,0.38878504672897196,0.5085085085085085,0.4486467776187402
3,0.04523107177974434,0.11886051080550099,0.08204579129262267
4,0.29916897506925205,0.372528616024974,0.335848795547113
5,0.052788844621513946,0.3170731707317073,0.18493100767661064
6,0.18365180467091294,0.42843040473840077,0.30604110470465684
7,0.08823529411764706,0.2206439393939394,0.15443961675579324
8,0.26036644165863065,0.5160848733744011,0.3882256575165159
9,0.1462655601659751,0.6377502383222117,0.3920078992440934
10,0.46956521739130436,0.22949117341640707,0.3495281954038557
11,0.38686131386861317,0.5776330076004343,0.4822471607345238
12,0.47276395427034296,0.5437881873727087,0.5082760708215258
13,0.4134228187919463,0.6189889025893958,0.516205860690671
14,0.0761904761904762,0.5448997384481256,0.31054510731930085
15,0.3555045871559633,0.35470941883767537,0.3551070029968193
16,0.348326359832636,0.38170347003154576,0.3650149149320909
17,0.46039268788083954,0.6389177939646202,0.5496552409227299
18,0.42383419689119173,0.4529737206085754,0.4384039587498836
19,0.17372881355932204,0.26952695269526955,0.2216278831272958
20,0.5182884748102139,0.5563380281690141,0.537313251489614
21,0.30220356768100737,0.4531886024423338,0.3776960850616706
22,0.6495489243580846,0.43410852713178294,0.5418287257449338
23,0.39488636363636365,0.5083612040133779,0.4516237838248708
24,0.5890909090909091,0.47137014314928427,0.5302305261200967
25,0.5821305841924399,0.521203830369357,0.5516672072808985
26,0.42799461641991926,0.44505119453924913,0.43652290547958417
27,0.5087014725568942,0.3590462833099579,0.4338738779334261
28,0.48802190280629704,0.3442622950819672,0.4161420989441321
29,0.38939288206559663,0.5076142131979695,0.4485035476317831
30,0.42795698924731185,0.4717362045760431,0.4498465969116775
31,0.5160944206008584,0.20762286860581744,0.36185864460333794
32,0.5685172171468728,0.6892596454640251,0.6288884313054489
33,0.4050632911392405,0.5357634112792297,0.4704133512092351
34,0.5131485429992892,0.46267652992602554,0.4879125364626574
35,0.36507936507936506,0.47385272145144075,0.41946604326540293
36,0.5346740638002774,0.6192722371967655,0.5769731504985214
37,0.4971830985915493,0.4313588850174216,0.46427099180448544
38,0.46725317693059626,0.49236894492368943,0.4798110609271429
39,0.5601351351351351,0.2803738317757009,0.42025448345541805
40,0.3694915254237288,0.3625,0.3659957627118644
41,0.28986486486486485,0.55756698044895,0.42371592265690744
42,0.44687915006640105,0.4862965565706254,0.46658785331851327
43,0.4566552901023891,0.434201266713582,0.44542827840798555
44,0.37840670859538783,0.47324530924252955,0.4258260089189587
45,0.47421981004070557,0.42608089260808923,0.4501503513243974
46,0.3708421797593772,0.5168384879725086,0.4438403338659429
47,0.4139142656359803,0.16929133858267717,0.29160280210932876
48,0.34664861205145564,0.4405829596412556,0.3936157858463556
49,0.41818181818181815,0.6381578947368421,0.5281698564593301
50,0.4184300341296928,0.4228052472250252,0.420617640677359
51,0.2669773635153129,0.4121887287024902,0.33958304610890155
52,0.28368314150304674,0.25704918032786883,0.2703661609154578
53,0.29844699527346386,0.26486129458388374,0.2816541449286738
54,0.268033946251768,0.3460736622654621,0.30705380425861506
55,0.35465924895688455,0.2393617021276596,0.29701047554227206
56,0.3038309114927345,0.24408384043272482,0.2739573759627297
57,0.36595174262734587,0.2595494613124388,0.31275060196989235
58,0.34223134839151265,0.5808423913043478,0.4615368698479302
59,0.27353689567430023,0.37617765814266485,0.32485727690848254
60,0.23651452282157676,0.2609853528628495,0.24874993784221314
61,0.3297720797720798,0.1445466491458607,0.23715936445897023
62,0.4029952348536419,0.16950306330837303,0.28624914908100746
63,0.35967302452316074,0.33932422717469446,0.3494986258489276
64,0.35013623978201636,0.13936927772126145,0.2447527587516389
65,0.16206652512384997,0.3825910931174089,0.27232880912062946
66,0.3659863945578231,0.3976300197498354,0.38180820715382924
67,0.37849872773536897,0.2586793737236215,0.3185890507294952
68,0.3530183727034121,0.32665330661322645,0.33983583965831926
69,0.3090322580645161,0.12077294685990338,0.21490260246220974
70,0.15851272015655576,0.2617666021921341,0.21013966117434493
71,0.2849569251159708,0.14790139906728847,0.21642916209162966
72,0.21104536489151873,0.19261744966442954,0.20183140727797413
73,0.21137123745819397,0.18073089700996678,0.1960510672340804
74,0.28266494178525226,0.2775564409030544,0.28011069134415334
75,0.2770592239618788,0.29880478087649404,0.28793200241918643
76,0.17903645833333334,0.145748987854251,0.16239272309379216
77,0.12414266117969822,0.24448897795591182,0.18431581956780502
78,0.17763157894736842,0.18035087719298246,0.17899122807017542
79,0.17247820672478206,0.2405237767057202,0.20650099171525113
80,0.049933422103861515,0.1742765273311897,0.1121049747175256
81,0.2762030323005933,0.07236842105263158,0.17428572667661243
82,0.1292941911305434,0.1324200913242009,0.13085714122737216
83,0.1613316261203585,0.13058419243986255,0.14595790928011054
84,0.13899868247694336,0.2635003253090436,0.20124950389299348
85,0.19247648902821315,0.22356091030789826,0.2080186996680557
86,0.01034928848641656,0.2233902759526938,0.11686978221955518
