transition,rel_case1,rel_case2,rel_avg
1,0.3767078724788549,0.46782006920415226,0.4222639708415036
2,0.09789719626168224,0.1544044044044044,0.12615080033304332
3,0.7497541789577188,0.6780451866404715,0.7138996827990951
4,0.7804709141274239,0.6675338189386056,0.7240023665330148
5,0.7773904382470119,0.6815196998123827,0.7294550690296973
6,0.7651273885350318,0.5409674234945706,0.6530474060148013
7,0.7512254901960784,0.6377840909090909,0.6945047905525847
8,0.7162487945998072,0.4411362080766598,0.5786925013382335
9,0.5951763485477178,0.20424213536701621,0.399709241957367
10,0.6572463768115943,0.5173935617860852,0.5873199692988398
11,0.7125912408759124,0.5768186753528773,0.6447049581143949
12,0.4910894418291863,0.5183299389002036,0.5047096903646949
13,0.5187919463087248,0.7031442663378545,0.6109681063232897
14,0.6574074074074074,0.5387968613775065,0.598102134392457
15,0.6665711009174312,0.6425350701402806,0.6545530855288559
16,0.6759937238493724,0.5023659305993691,0.5891798272243707
17,0.3859174001354096,0.6438605619146722,0.5148889810250409
18,0.6455958549222798,0.30601659751037347,0.4758062262163266
19,0.5452860169491526,0.3525852585258526,0.44893563773750256
20,0.43685300207039335,0.6471327967806841,0.5419928994255387
21,0.3830010493179433,0.3914518317503392,0.38722644053414124
22,0.42435808466342817,0.2805232558139535,0.35244067023869086
23,0.5152698863636364,0.5023411371237458,0.5088055117436912
24,0.38606060606060605,0.3609406952965235,0.37350065067856475
25,0.5013745704467354,0.34165526675786595,0.42151491860230067
26,0.3805518169582773,0.39112627986348125,0.38583904841087924
27,0.42402945113788487,0.5292776998597476,0.47665357549881626
28,0.47347707049965776,0.4175204918032787,0.44549878115146824
29,0.5104675505931612,0.4263959390862944,0.4684317448397278
30,0.3896057347670251,0.3246971736204576,0.35715145419374134
31,0.31706008583690987,0.3229689067201605,0.3200144962785352
32,0.4817287420941673,0.46689259645464026,0.4743106692744038
33,0.4588607594936709,0.32565337001375516,0.392257064753713
34,0.3837953091684435,0.3816408876933423,0.3827180984308929
35,0.5364583333333334,0.4626467449306297,0.4995525391319815
36,0.3800277392510402,0.3935309973045822,0.38677936827781123
37,0.35563380281690143,0.335191637630662,0.3454127202237817
38,0.33235581622678395,0.47710683477106836,0.40473132549892615
39,0.4527027027027027,0.6625500667556742,0.5576263847291885
40,0.5101694915254237,0.41625,0.46320974576271184
41,0.5587837837837838,0.28692976104272266,0.42285677241325326
42,0.4643094289508632,0.43183415319747015,0.44807179107416667
43,0.43600682593856654,0.504222378606615,0.4701146022725908
44,0.444706498951782,0.44232105628908963,0.4435137776204358
45,0.4151967435549525,0.4393305439330544,0.42726364374400344
46,0.4869072894550602,0.4240549828178694,0.4554811361364648
47,0.5017568517217147,0.47982283464566927,0.490789843183692
48,0.5352064996614759,0.4164798206278027,0.47584316014463934
49,0.4533216783216783,0.5016447368421053,0.4774832075818918
50,0.49180887372013654,0.5128657921291625,0.5023373329246495
51,0.5963715046604527,0.4200524246395806,0.5082119646500167
52,0.5682125930941097,0.5808196721311475,0.5745161326126286
53,0.5327481431465226,0.5404557463672391,0.5366019447568808
54,0.43405233380480907,0.5496872828353023,0.49186980832005567
55,0.5935326842837274,0.5292553191489362,0.5613940017163318
56,0.6068361955085865,0.5598377281947262,0.5833369618516564
57,0.44436997319034854,0.341332027424094,0.3928510003072213
58,0.5785420944558521,0.4422554347826087,0.5103987646192304
59,0.5920801526717557,0.507907133243607,0.5499936429576814
